code,name,city,country,lat,lon,population,leisure
KAN,Mallam Aminu Kano Intl,Kano,NG,12.05,8.52,4.1,0
PHC,Port Harcourt Intl,Port Harcourt,NG,5.02,6.95,3.0,0
ENU,Akanu Ibiam Intl,Enugu,NG,6.47,7.56,0.8,0
KAD,Kaduna Intl,Kaduna,NG,10.70,7.32,1.6,0
ILR,Ilorin Intl,Ilorin,NG,8.44,4.49,1.0,0
MIU,Maiduguri Intl,Maiduguri,NG,11.86,13.08,1.2,0
CBQ,Margaret Ekpo Intl,Calabar,NG,4.98,8.35,0.6,0
BNI,Benin,Benin City,NG,6.32,5.60,1.7,0
SKO,Sadiq Abubakar III,Sokoto,NG,12.92,5.21,0.7,0
QUO,Akwa Ibom Intl,Uyo,NG,5.16,8.09,1.2,0
QOW,Sam Mbakwe,Owerri,NG,5.43,7.21,0.9,0
JOS,Yakubu Gowon,Jos,NG,9.64,8.87,0.9,0
BJR,Bahir Dar,Bahir Dar,ET,11.61,37.32,0.4,0
DIR,Aba Tenna Dejazmach,Dire Dawa,ET,9.62,41.85,0.5,0
MQX,Alula Aba Nega,Mekelle,ET,13.47,39.53,0.5,0
GDQ,Gondar,Gondar,ET,12.52,37.43,0.4,1
JIM,Aba Segud,Jimma,ET,7.66,36.82,0.2,0
LLI,Lalibela,Lalibela,ET,11.98,38.98,0.03,1
AXU,Axum,Axum,ET,14.15,38.77,0.07,1
JRO,Kilimanjaro Intl,Kilimanjaro,TZ,-3.43,37.07,1.0,1
ZNZ,Abeid Amani Karume Intl,Zanzibar,TZ,-6.22,39.22,0.5,1
MWZ,Mwanza,Mwanza,TZ,-2.44,32.93,1.2,0
ARK,Arusha,Arusha,TZ,-3.37,36.63,0.6,1
DOD,Dodoma,Dodoma,TZ,-6.17,35.75,0.4,0
MBI,Songwe,Mbeya,TZ,-9.01,33.27,0.5,0
MBA,Moi Intl,Mombasa,KE,-4.03,39.59,1.2,1
KIS,Kisumu Intl,Kisumu,KE,-0.09,34.73,0.6,0
ELD,Eldoret Intl,Eldoret,KE,0.40,35.24,0.4,0
MYD,Malindi,Malindi,KE,-3.23,40.10,0.12,1
FBM,Lubumbashi Intl,Lubumbashi,CD,-11.59,27.53,2.6,0
FKI,Kisangani Bangoka,Kisangani,CD,0.49,25.34,1.2,0
MJM,Mbuji-Mayi,Mbuji-Mayi,CD,-6.12,23.57,2.5,0
KGA,Kananga,Kananga,CD,-5.90,22.47,1.5,0
GOM,Goma Intl,Goma,CD,-1.67,29.24,0.7,0
NOV,Albano Machado,Huambo,AO,-12.81,15.76,0.9,0
