code,name,city,country,lat,lon,population,leisure
WUX,Sunan Shuofang Intl,Wuxi,CN,31.49,120.43,7.4,0
CZX,Benniu Intl,Changzhou,CN,31.92,119.78,5.3,0
YTY,Yangzhou Taizhou Intl,Yangzhou,CN,32.56,119.72,4.6,0
HYN,Huangyan,Taizhou,CN,28.56,121.43,6.6,0
WNZ,Longwan Intl,Wenzhou,CN,27.91,120.85,9.6,0
JUZ,Quzhou,Quzhou,CN,28.97,118.90,2.3,0
HSN,Putuoshan,Zhoushan,CN,29.93,122.36,1.2,1
YIW,Yiwu,Yiwu,CN,29.34,120.03,1.9,0
LYG,Baitabu,Lianyungang,CN,34.57,119.25,4.6,0
HIA,Lianshui,Huai'an,CN,33.79,119.13,4.6,0
XUZ,Guanyin Intl,Xuzhou,CN,34.06,117.56,9.0,0
YNZ,Nanyang Intl,Yancheng,CN,33.43,120.20,6.7,0
BFU,Bengbu,Bengbu,CN,32.85,117.32,3.3,0
AQG,Tianzhushan,Anqing,CN,30.58,117.05,4.2,0
WHA,Wuhu Xuanzhou,Wuhu,CN,31.39,118.41,3.6,0
JJN,Jinjiang Intl,Quanzhou,CN,24.80,118.59,8.7,0
MXZ,Meixian,Meizhou,CN,24.35,116.13,4.3,0
WYS,Wuyishan,Wuyishan,CN,27.70,118.00,2.3,1
LZH,Bailian,Liuzhou,CN,24.21,109.39,4.2,0
BHY,Fucheng,Beihai,CN,21.54,109.29,1.9,1
AEB,Youjiang,Baise,CN,23.72,106.96,3.6,0
HLD,Dongshan,Hulunbuir,CN,49.20,119.83,2.5,1
BAV,Donghe,Baotou,CN,40.56,109.99,2.7,0
DSN,Ordos Ejin Horo,Ordos,CN,39.49,109.86,2.2,0
NDG,Sanjiazi,Qiqihar,CN,47.24,123.92,5.3,0
MDG,Hailang,Mudanjiang,CN,44.52,129.57,2.5,0
JMU,Dongjiao,Jiamusi,CN,46.84,130.46,2.3,0
YNJ,Chaoyangchuan,Yanji,CN,42.88,129.45,2.1,0
JNZ,Xiaolingzi,Jinzhou,CN,41.10,121.06,3.0,0
AOG,Tengao,Anshan,CN,41.10,122.85,3.3,0
TGO,Tongliao,Tongliao,CN,43.55,122.20,2.8,0
CIF,Yulong,Chifeng,CN,42.23,118.91,4.3,0
DLU,Dali,Dali,CN,25.65,100.32,0.7,1
LJG,Sanyi,Lijiang,CN,26.68,100.24,1.3,1
JHG,Gasa,Xishuangbanna,CN,21.97,100.76,1.3,1
DIG,Shangri-La,Diqing,CN,27.79,99.68,0.4,1
ZAT,Zhaotong,Zhaotong,CN,27.33,103.75,5.2,0
LUM,Mangshi,Dehong,CN,24.40,98.53,1.3,0
BSD,Yunrui,Baoshan,CN,25.05,99.17,2.4,0
SYM,Simao,Pu'er,CN,22.79,100.96,2.5,1
LNJ,Boshang,Lincang,CN,23.74,100.03,2.3,0
MIG,Nanjiao,Mianyang,CN,31.43,104.74,4.9,0
NAO,Gaoping,Nanchong,CN,30.97,106.16,5.6,0
LZO,Yunlong,Luzhou,CN,28.85,105.40,4.3,0
YBP,Wuliangye,Yibin,CN,28.80,104.53,4.6,0
DAX,Heshi,Dazhou,CN,31.13,107.43,5.4,0
XIC,Qingshan,Xichang,CN,27.99,102.18,1.3,0
