code,name,city,country,lat,lon,population,leisure
JTR,Santorini,Santorini,GR,36.40,25.48,0.015,1
JMK,Mykonos,Mykonos,GR,37.43,25.35,0.01,1
RHO,Rhodes Diagoras,Rhodes,GR,36.41,28.09,0.12,1
HER,Heraklion Kazantzakis,Heraklion,GR,35.34,25.18,0.18,1
CHQ,Chania,Chania,GR,35.53,24.15,0.1,1
KGS,Kos,Kos,GR,36.79,27.09,0.03,1
CFU,Corfu,Corfu,GR,39.60,19.91,0.1,1
ZTH,Zakynthos,Zakynthos,GR,37.75,20.88,0.04,1
MJT,Mytilene,Lesvos,GR,39.05,26.60,0.09,1
KVA,Alexander the Great,Kavala,GR,40.91,24.62,0.07,0
IBZ,Ibiza,Ibiza,ES,38.87,1.37,0.15,1
MAH,Menorca,Menorca,ES,39.86,4.22,0.09,1
ACE,Lanzarote,Lanzarote,ES,28.95,-13.61,0.15,1
FUE,Fuerteventura,Fuerteventura,ES,28.45,-13.86,0.12,1
SCQ,Santiago de Compostela,Santiago,ES,42.90,-8.42,0.17,1
OVD,Asturias,Oviedo,ES,43.56,-6.03,0.8,0
VGO,Vigo,Vigo,ES,42.23,-8.63,0.3,0
XRY,Jerez,Jerez,ES,36.74,-6.06,0.2,1
GRX,F.G.L. Granada-Jaen,Granada,ES,37.19,-3.78,0.5,1
CAG,Cagliari Elmas,Cagliari,IT,39.25,9.06,0.43,1
OLB,Olbia Costa Smeralda,Olbia,IT,40.90,9.52,0.06,1
BDS,Brindisi,Brindisi,IT,40.66,17.95,0.09,1
SUF,Lamezia Terme,Lamezia Terme,IT,38.91,16.24,0.07,0
PSR,Abruzzo,Pescara,IT,42.43,14.18,0.3,0
AOI,Marche,Ancona,IT,43.62,13.36,0.3,0
FNC,Madeira Cristiano Ronaldo,Funchal,PT,32.69,-16.77,0.15,1
PDL,Joao Paulo II,Ponta Delgada,PT,37.74,-25.70,0.07,1
ZAD,Zadar,Zadar,HR,44.11,15.35,0.07,1
PUY,Pula,Pula,HR,44.89,13.92,0.06,1
INI,Nis Constantine the Great,Nis,RS,43.34,21.85,0.25,0
TZL,Tuzla Intl,Tuzla,BA,44.46,18.72,0.12,0
TGD,Podgorica,Podgorica,ME,42.36,19.25,0.18,0
TIV,Tivat,Tivat,ME,42.40,18.72,0.04,1
OHD,Ohrid St Paul,Ohrid,MK,41.18,20.74,0.05,1
VAR,Varna,Varna,BG,43.23,27.83,0.34,1
BOJ,Burgas,Burgas,BG,42.57,27.52,0.2,1
CLJ,Avram Iancu,Cluj-Napoca,RO,46.79,23.69,0.4,0
IAS,Iasi,Iasi,RO,47.18,27.62,0.4,0
TSR,Traian Vuia,Timisoara,RO,45.81,21.34,0.32,0
SBZ,Sibiu,Sibiu,RO,45.78,24.09,0.17,0
LWO,Danylo Halytskyi,Lviv,UA,49.81,23.96,0.72,0
ODS,Odesa,Odesa,UA,46.43,30.68,1.0,0
HRK,Kharkiv,Kharkiv,UA,49.92,36.29,1.4,0
DNK,Dnipro,Dnipro,UA,48.36,35.10,1.0,0
GDN,Lech Walesa,Gdansk,PL,54.38,18.47,0.75,0
WRO,Copernicus,Wroclaw,PL,51.10,16.89,0.64,0
POZ,Lawica,Poznan,PL,52.42,16.83,0.55,0
KTW,Katowice,Katowice,PL,50.47,19.08,2.2,0
TOS,Tromso,Tromso,NO,69.68,18.92,0.08,1
BOO,Bodo,Bodo,NO,67.27,14.36,0.05,0
AES,Alesund Vigra,Alesund,NO,62.56,6.12,0.07,0
KRS,Kristiansand Kjevik,Kristiansand,NO,58.20,8.09,0.11,0
RVN,Rovaniemi,Rovaniemi,FI,66.56,25.83,0.06,1
OUL,Oulu,Oulu,FI,64.93,25.37,0.2,0
AEY,Akureyri,Akureyri,IS,65.66,18.07,0.02,1
