code,name,city,country,lat,lon,population,leisure
IXJ,Jammu,Jammu,IN,32.69,74.84,0.65,0
SXR,Sheikh ul-Alam Intl,Srinagar,IN,33.99,74.77,1.5,1
DED,Jolly Grant,Dehradun,IN,30.19,78.18,0.8,1
KNU,Chakeri,Kanpur,IN,26.40,80.41,3.1,0
GAY,Gaya Intl,Gaya,IN,24.74,84.95,0.5,1
IXW,Sonari,Jamshedpur,IN,22.81,86.17,1.6,0
IXR,Birsa Munda,Ranchi,IN,23.31,85.32,1.5,0
DBR,Darbhanga,Darbhanga,IN,26.19,85.92,0.4,0
GWL,Rajmata Scindia,Gwalior,IN,26.29,78.22,1.2,0
HJR,Khajuraho,Khajuraho,IN,24.81,79.92,0.05,1
JLR,Jabalpur,Jabalpur,IN,23.18,80.05,1.4,0
BHO,Raja Bhoj,Bhopal,IN,23.28,77.34,2.4,0
RPR,Swami Vivekananda,Raipur,IN,21.18,81.74,1.5,0
BDQ,Vadodara,Vadodara,IN,22.34,73.21,2.2,0
STV,Surat,Surat,IN,21.11,72.74,6.9,0
RAJ,Rajkot,Rajkot,IN,22.30,70.78,1.6,0
BHJ,Bhuj,Bhuj,IN,23.29,69.67,0.2,0
JGA,Jamnagar,Jamnagar,IN,22.46,70.01,0.7,0
JDH,Jodhpur,Jodhpur,IN,26.25,73.05,1.3,1
BKB,Nal,Bikaner,IN,28.07,73.21,0.7,0
KQH,Kishangarh,Ajmer,IN,26.59,74.81,0.6,0
JSA,Jaisalmer,Jaisalmer,IN,26.89,70.86,0.08,1
IXU,Aurangabad,Aurangabad,IN,19.86,75.40,1.4,1
NDC,Nanded,Nanded,IN,19.18,77.32,0.6,0
KLH,Kolhapur,Kolhapur,IN,16.66,74.29,0.7,0
IXG,Belagavi,Belgaum,IN,15.86,74.62,0.6,0
HBX,Hubli,Hubli,IN,15.36,75.08,1.0,0
IXM,Madurai,Madurai,IN,9.83,78.09,1.6,1
TRZ,Tiruchirappalli Intl,Tiruchirappalli,IN,10.76,78.71,1.0,0
CJB,Coimbatore Intl,Coimbatore,IN,11.03,77.04,2.5,0
SXV,Salem,Salem,IN,11.78,78.07,0.9,0
TCR,Tuticorin,Thoothukudi,IN,8.72,78.02,0.5,0
RJA,Rajahmundry,Rajahmundry,IN,17.11,81.82,0.6,0
VGA,Vijayawada,Vijayawada,IN,16.53,80.80,1.6,0
TIR,Tirupati,Tirupati,IN,13.63,79.54,0.5,1
IXZ,Veer Savarkar,Port Blair,IN,11.64,92.73,0.14,1
IXA,Agartala,Agartala,IN,23.89,91.24,0.5,0
IMF,Imphal,Imphal,IN,24.76,93.90,0.5,0
DMU,Dimapur,Dimapur,IN,25.88,93.77,0.4,0
DIB,Dibrugarh,Dibrugarh,IN,27.48,95.02,0.15,0
JRH,Jorhat,Jorhat,IN,26.73,94.18,0.15,0
SHL,Shillong,Shillong,IN,25.70,91.98,0.5,1
AJL,Lengpui,Aizawl,IN,23.84,92.62,0.3,0
IXS,Silchar,Silchar,IN,24.91,92.98,0.2,0
IXD,Prayagraj,Prayagraj,IN,25.44,81.73,1.2,0
AGR,Agra,Agra,IN,27.16,77.96,1.7,1
KUU,Bhuntar,Kullu,IN,31.88,77.15,0.05,1
DHM,Gaggal,Dharamshala,IN,32.16,76.26,0.05,1
LUH,Sahnewal,Ludhiana,IN,30.85,75.95,1.7,0
IXB,Bagdogra,Siliguri,IN,26.68,88.33,0.7,1
PNY,Pondicherry,Puducherry,IN,11.97,79.81,0.65,1
MYQ,Mysore,Mysore,IN,12.23,76.65,1.0,1
SAG,Shirdi,Shirdi,IN,19.69,74.38,0.1,1
DGH,Deoghar,Deoghar,IN,24.40,86.71,0.2,1
AYJ,Maharishi Valmiki,Ayodhya,IN,26.72,82.15,0.06,1
GOX,Manohar Intl,North Goa,IN,15.74,73.86,0.6,1
