code,name,city,country,lat,lon,population,leisure
SJP,Prof. Eribelto Manoel Reino,Sao Jose do Rio Preto,BR,-20.82,-49.40,0.5,0
MGF,Silvio Name Junior,Maringa,BR,-23.48,-52.01,0.43,0
CXJ,Hugo Cantergiani,Caxias do Sul,BR,-29.20,-51.19,0.51,0
CPV,Joao Suassuna,Campina Grande,BR,-7.27,-35.90,0.42,0
JDO,Orlando Bezerra,Juazeiro do Norte,BR,-7.22,-39.27,0.27,0
IOS,Jorge Amado,Ilheus,BR,-14.82,-39.03,0.18,1
PNZ,Senador Nilo Coelho,Petrolina,BR,-9.36,-40.57,0.36,0
BPS,Porto Seguro,Porto Seguro,BR,-16.44,-39.08,0.15,1
VDC,Glauber Rocha,Vitoria da Conquista,BR,-14.86,-40.86,0.34,0
MOC,Mario Ribeiro,Montes Claros,BR,-16.71,-43.82,0.41,0
IPN,Usiminas,Ipatinga,BR,-19.47,-42.49,0.3,0
CAC,Coronel Adalberto Mendes,Cascavel,BR,-25.00,-53.50,0.33,0
CZS,Cruzeiro do Sul,Cruzeiro do Sul,BR,-7.60,-72.77,0.09,0
TBT,Tabatinga,Tabatinga,BR,-4.25,-69.94,0.06,0
STM,Santarem,Santarem,BR,-2.42,-54.79,0.3,0
MAB,Joao Correa,Maraba,BR,-5.37,-49.14,0.28,0
IMP,Prefeito Renato Moreira,Imperatriz,BR,-5.53,-47.46,0.26,0
OPS,Presidente Joao Figueiredo,Sinop,BR,-11.88,-55.59,0.14,0
FEN,Fernando de Noronha,Fernando de Noronha,BR,-3.85,-32.42,0.003,1
CFB,Cabo Frio Intl,Cabo Frio,BR,-22.92,-42.07,0.23,1
MLM,Gen. Francisco Mujica,Morelia,MX,19.85,-101.03,1.0,0
ZCL,Gen. Leobardo Ruiz,Zacatecas,MX,22.90,-102.69,0.4,0
DGO,Guadalupe Victoria,Durango,MX,24.12,-104.53,0.65,0
TAM,Gen. Francisco J. Mina,Tampico,MX,22.29,-97.87,0.9,0
REX,Gen. Lucio Blanco,Reynosa,MX,26.01,-98.23,0.9,0
