code,name,city,country,lat,lon,population,leisure
UFA,Ufa Intl,Ufa,RU,54.56,55.87,1.1,0
KRR,Pashkovsky,Krasnodar,RU,45.03,39.17,1.0,0
MRV,Mineralnye Vody,Mineralnye Vody,RU,44.22,43.08,0.5,1
VOG,Gumrak,Volgograd,RU,48.78,44.35,1.0,0
GOJ,Strigino,Nizhny Novgorod,RU,56.23,43.78,1.25,0
KUF,Kurumoch,Samara,RU,53.50,50.16,1.16,0
REN,Orenburg Tsentralny,Orenburg,RU,51.80,55.46,0.55,0
CEK,Chelyabinsk Balandino,Chelyabinsk,RU,55.31,61.50,1.2,0
PEE,Bolshoye Savino,Perm,RU,57.91,56.02,1.0,0
TJM,Roshchino,Tyumen,RU,57.19,65.32,0.8,0
OMS,Tsentralny,Omsk,RU,54.97,73.31,1.15,0
BAX,Barnaul,Barnaul,RU,53.36,83.54,0.6,0
TOF,Bogashevo,Tomsk,RU,56.38,85.21,0.57,0
KEJ,Kemerovo Intl,Kemerovo,RU,55.27,86.11,0.55,0
NOZ,Spichenkovo,Novokuznetsk,RU,53.81,86.88,0.55,0
ABA,Abakan,Abakan,RU,53.74,91.39,0.18,0
UUD,Baikal,Ulan-Ude,RU,51.81,107.44,0.43,1
HTA,Kadala,Chita,RU,52.03,113.31,0.35,0
YKS,Yakutsk,Yakutsk,RU,62.09,129.77,0.3,0
GDX,Sokol,Magadan,RU,59.91,150.72,0.09,0
PKC,Yelizovo,Petropavlovsk-Kamchatsky,RU,53.17,158.45,0.18,1
UUS,Khomutovo,Yuzhno-Sakhalinsk,RU,46.89,142.72,0.18,0
BQS,Ignatyevo,Blagoveshchensk,RU,50.43,127.41,0.22,0
ARH,Talagi,Arkhangelsk,RU,64.60,40.72,0.35,0
MMK,Murmansk,Murmansk,RU,68.78,32.75,0.3,0
KGD,Khrabrovo,Kaliningrad,RU,54.89,20.59,0.49,0
VOZ,Chertovitskoye,Voronezh,RU,51.81,39.23,1.0,0
PEZ,Penza,Penza,RU,53.11,45.02,0.5,0
ULV,Barataevka,Ulyanovsk,RU,54.27,48.23,0.6,0
CSY,Cheboksary,Cheboksary,RU,56.09,47.35,0.49,0
KVX,Pobedilovo,Kirov,RU,58.50,49.35,0.5,0
NJC,Nizhnevartovsk,Nizhnevartovsk,RU,60.95,76.48,0.27,0
SGC,Surgut,Surgut,RU,61.34,73.40,0.38,0
NUX,Novy Urengoy,Novy Urengoy,RU,66.07,76.52,0.12,0
HMA,Khanty-Mansiysk,Khanty-Mansiysk,RU,61.03,69.09,0.1,0
NAL,Nalchik,Nalchik,RU,43.51,43.64,0.24,0
OGZ,Beslan,Vladikavkaz,RU,43.21,44.61,0.3,0
GRV,Severny,Grozny,RU,43.39,45.70,0.3,0
MCX,Uytash,Makhachkala,RU,42.82,47.65,0.6,0
ASF,Narimanovo,Astrakhan,RU,46.28,48.01,0.5,0
STW,Shpakovskoye,Stavropol,RU,45.11,42.11,0.45,0
IJK,Izhevsk,Izhevsk,RU,56.83,53.46,0.65,0
SCW,Syktyvkar,Syktyvkar,RU,61.65,50.84,0.23,0
