code,name,city,country,lat,lon,population,leisure
YOL,Yola,Yola,NG,9.26,12.43,0.6,0
GMO,Gombe Lawanti,Gombe,NG,10.30,11.42,0.5,0
ABB,Asaba Intl,Asaba,NG,6.20,6.66,0.5,0
MXJ,Minna,Minna,NG,9.65,6.46,0.4,0
ATZ,Asyut,Asyut,EG,27.05,31.01,0.5,0
CAB,Cabinda,Cabinda,AO,-5.60,12.19,0.6,0
MEG,Malanje,Malanje,AO,-9.53,16.31,0.5,0
SZA,Soyo,Soyo,AO,-6.14,12.37,0.2,0
MDK,Mbandaka,Mbandaka,CD,0.02,18.29,0.4,0
VPY,Chingozi,Tete,MZ,-16.10,33.64,0.3,0
TLE,Toliara,Toliara,MG,-23.38,43.73,0.2,0
KIM,Kimberley,Kimberley,ZA,-28.80,24.77,0.25,0
UTN,Upington,Upington,ZA,-28.40,21.26,0.1,0
BLJ,Mostefa Ben Boulaid,Batna,DZ,35.75,6.31,0.3,0
BSK,Mohamed Khider,Biskra,DZ,34.79,5.74,0.3,0
TLM,Zenata,Tlemcen,DZ,35.02,-1.45,0.2,0
NDR,Nador Al Aroui,Nador,MA,34.99,-3.03,0.2,0
TTU,Sania Ramel,Tetouan,MA,35.59,-5.32,0.4,0
OZZ,Ouarzazate,Ouarzazate,MA,30.94,-6.91,0.07,1
BSG,Bata,Bata,GQ,1.91,9.81,0.3,0
FOU,Mvengue,Franceville,GA,-1.65,13.44,0.1,0
TOE,Tozeur-Nefta,Tozeur,TN,33.94,8.11,0.05,1
SEB,Sabha,Sabha,LY,27.01,14.47,0.13,0
LAU,Manda,Lamu,KE,-2.25,40.91,0.03,1
MNC,Nacala,Nacala,MZ,-14.49,40.71,0.2,0
SMS,Sainte Marie,Sainte Marie,MG,-17.09,49.82,0.02,1
JIJ,Jijiga Wilwal,Jijiga,ET,9.36,42.91,0.2,0
PZB,Pietermaritzburg,Pietermaritzburg,ZA,-29.65,30.40,0.7,0
CSK,Cap Skirring,Cap Skirring,SN,12.40,-16.75,0.02,1
SPY,San Pedro,San Pedro,CI,4.75,-6.66,0.2,0
TKD,Takoradi,Takoradi,GH,4.90,-1.77,0.4,0
BBO,Berbera,Berbera,SO,10.39,44.94,0.05,0
GLK,Galkayo,Galkayo,SO,6.78,47.45,0.15,0
