code,name,city,country,lat,lon,population,leisure
KOW,Huangjin,Ganzhou,CN,25.85,114.78,8.9,0
SQD,Sanqingshan,Shangrao,CN,28.39,117.96,6.5,0
YIC,Mingyueshan,Yichun,CN,27.80,114.31,5.1,0
HCJ,Jinchengjiang,Hechi,CN,24.99,107.70,3.4,0
SQJ,Shaxian,Sanming,CN,26.43,117.83,2.5,0
GYU,Liupanshan,Guyuan,CN,36.07,106.22,1.2,0
DBC,Changan,Baicheng,CN,45.50,123.02,1.5,0
WUA,Wuhai,Wuhai,CN,39.79,106.80,0.5,0
AAT,Altay,Altay,CN,47.75,88.08,0.2,0
TLQ,Jiaohe,Turpan,CN,43.03,89.10,0.6,1
NLT,Nalati,Xinyuan,CN,43.43,83.38,0.1,1
GXH,Xiahe,Gannan,CN,34.81,102.64,0.7,1
OHE,Gulian,Mohe,CN,52.91,122.43,0.08,1
GOP,Gorakhpur,Gorakhpur,IN,26.74,83.45,0.7,0
BEK,Bareilly,Bareilly,IN,28.42,79.45,1.0,0
CNN,Kannur Intl,Kannur,IN,11.92,75.55,1.6,0
CDP,Kadapa,Kadapa,IN,14.51,78.77,0.5,0
KJB,Kurnool Orvakal,Kurnool,IN,15.71,78.06,0.5,0
PAB,Bilaspur,Bilaspur,IN,22.10,82.11,0.4,0
AIP,Adampur,Jalandhar,IN,31.43,75.76,0.9,0
BUP,Bathinda,Bathinda,IN,30.27,74.76,0.3,0
SLV,Shimla,Shimla,IN,31.08,77.07,0.2,1
KSN,Kostanay,Kostanay,KZ,53.21,63.55,0.24,0
PPK,Petropavl,Petropavl,KZ,54.78,69.18,0.22,0
PLX,Semey,Semey,KZ,50.35,80.23,0.32,0
TMJ,Termez,Termez,UZ,37.29,67.31,0.18,0
KSQ,Karshi,Karshi,UZ,38.83,65.92,0.28,0
CRZ,Turkmenabat,Turkmenabat,TM,39.08,63.61,0.25,0
MYP,Mary,Mary,TM,37.62,61.90,0.12,0
KRW,Turkmenbashi,Turkmenbashi,TM,40.06,53.01,0.07,1
NAJ,Nakhchivan,Nakhchivan,AZ,39.19,45.45,0.1,0
