code,name,city,country,lat,lon,population,leisure
MKY,Mackay,Mackay,AU,-21.17,149.18,0.12,0
ROK,Rockhampton,Rockhampton,AU,-23.38,150.48,0.08,0
KTA,Karratha,Karratha,AU,-20.71,116.77,0.02,0
PHE,Port Hedland Intl,Port Hedland,AU,-20.38,118.63,0.02,0
KGI,Kalgoorlie-Boulder,Kalgoorlie,AU,-30.79,121.46,0.03,0
GET,Geraldton,Geraldton,AU,-28.80,114.71,0.04,0
DBO,Dubbo City,Dubbo,AU,-32.22,148.57,0.04,0
TMW,Tamworth,Tamworth,AU,-31.08,150.85,0.06,0
ABX,Albury,Albury,AU,-36.07,146.96,0.09,0
CFS,Coffs Harbour,Coffs Harbour,AU,-30.32,153.12,0.07,1
BNK,Ballina Byron Gateway,Ballina,AU,-28.83,153.56,0.05,1
TRG,Tauranga,Tauranga,NZ,-37.67,176.20,0.16,0
PMR,Palmerston North,Palmerston North,NZ,-40.32,175.62,0.09,0
NSN,Nelson,Nelson,NZ,-41.30,173.22,0.07,0
NPL,New Plymouth,New Plymouth,NZ,-39.01,174.18,0.06,0
ROT,Rotorua,Rotorua,NZ,-38.11,176.32,0.07,1
IVC,Invercargill,Invercargill,NZ,-46.41,168.31,0.06,0
WWK,Wewak,Wewak,PG,-3.58,143.67,0.05,0
GKA,Goroka,Goroka,PG,-6.08,145.39,0.05,0
SON,Santo Pekoa,Espiritu Santo,VU,-15.51,167.22,0.04,0
GZO,Nusatupe,Gizo,SB,-8.10,156.86,0.01,1
TVU,Matei,Taveuni,FJ,-16.69,179.88,0.01,1
HUH,Huahine,Huahine,PF,-16.69,-151.02,0.006,1
RGI,Rangiroa,Rangiroa,PF,-14.95,-147.66,0.003,1
AIT,Aitutaki,Aitutaki,CK,-18.83,-159.76,0.002,1
CXI,Cassidy Intl,Kiritimati,KI,1.99,-157.35,0.006,1
LIF,Lifou,Lifou,NC,-20.77,167.24,0.01,1
