code,name,city,country,lat,lon,population,leisure
ZYI,Xinzhou,Zunyi,CN,27.59,107.00,6.6,0
HUZ,Pingtan,Huizhou,CN,23.05,114.60,6.0,0
ZQZ,Ningyuan,Zhangjiakou,CN,40.74,114.93,4.4,0
WUZ,Xijiang,Wuzhou,CN,23.42,111.25,3.4,0
CIH,Wangcun,Changzhi,CN,36.25,113.13,3.2,0
AKA,Wulipu,Ankang,CN,32.71,108.93,2.6,0
GYS,Panlong,Guangyuan,CN,32.39,105.70,2.3,0
UCB,Jining,Ulanqab,CN,41.13,113.10,2.1,0
RLK,Tianjitai,Bayannur,CN,40.93,107.74,1.7,0
HLH,Yilelite,Ulanhot,CN,46.20,122.01,1.4,0
TCZ,Tuofeng,Tengchong,CN,24.94,98.49,0.7,1
YUS,Batang,Yushu,CN,32.84,97.04,0.4,1
XIL,Xilinhot,Xilinhot,CN,43.92,115.96,0.3,0
NZH,Xijiao,Manzhouli,CN,49.57,117.33,0.3,0
