code,name,city,country,lat,lon,population,leisure
LCK,Rickenbacker Intl,Columbus,US,39.81,-82.93,2.1,0
YNG,Youngstown-Warren,Youngstown,US,41.26,-80.67,0.5,0
CRW,West Virginia Intl Yeager,Charleston,US,38.37,-81.59,0.25,0
MCN,Middle Georgia Regional,Macon,US,32.69,-83.65,0.23,0
LEB,Lebanon Municipal,Lebanon,US,43.63,-72.30,0.21,0
BWG,Bowling Green-Warren County,Bowling Green,US,36.96,-86.42,0.18,0
PIB,Hattiesburg-Laurel Regional,Hattiesburg,US,31.47,-89.34,0.17,0
PGV,Pitt-Greenville,Greenville,US,35.64,-77.39,0.17,0
VRB,Vero Beach Regional,Vero Beach,US,27.66,-80.42,0.16,1
VIS,Visalia Municipal,Visalia,US,36.32,-119.39,0.14,0
MSL,Northwest Alabama Regional,Muscle Shoals,US,34.74,-87.61,0.15,0
IFP,Laughlin/Bullhead Intl,Bullhead City,US,35.16,-114.56,0.15,1
JST,John Murtha Johnstown-Cambria,Johnstown,US,40.32,-78.83,0.13,0
JBR,Jonesboro Municipal,Jonesboro,US,35.83,-90.65,0.13,0
FMN,Four Corners Regional,Farmington,US,36.74,-108.23,0.12,0
OWB,Owensboro-Daviess County,Owensboro,US,37.74,-87.17,0.12,0
EAT,Pangborn Memorial,Wenatchee,US,47.40,-120.21,0.12,0
BKW,Raleigh County Memorial,Beckley,US,37.79,-81.12,0.11,0
ART,Watertown Intl,Watertown,US,43.99,-76.02,0.11,0
OGS,Ogdensburg Intl,Ogdensburg,US,44.68,-75.47,0.11,0
DEC,Decatur Airport,Decatur,US,39.83,-88.87,0.105,0
CIC,Chico Municipal,Chico,US,39.79,-121.86,0.11,0
DDC,Dodge City Regional,Dodge City,US,37.76,-99.97,0.027,0
PUW,Pullman-Moscow Regional,Pullman,US,46.74,-117.11,0.08,0
PBG,Plattsburgh Intl,Plattsburgh,US,44.65,-73.47,0.08,0
SWO,Stillwater Regional,Stillwater,US,36.16,-97.09,0.08,0
HOB,Lea County Regional,Hobbs,US,32.69,-103.22,0.05,0
ROW,Roswell Air Center,Roswell,US,33.30,-104.53,0.05,0
GCC,Gillette-Campbell County,Gillette,US,44.35,-105.54,0.05,0
LAR,Laramie Regional,Laramie,US,41.31,-105.67,0.05,0
