code,name,city,country,lat,lon,population,leisure
TNA,Jinan Yaoqiang,Jinan,CN,36.86,117.22,9.2,0
KWE,Guiyang Longdongbao,Guiyang,CN,26.54,106.80,6.0,0
NNG,Nanning Wuxu,Nanning,CN,22.61,108.17,8.7,0
KHN,Nanchang Changbei,Nanchang,CN,28.86,115.90,6.3,0
HFE,Hefei Xinqiao,Hefei,CN,31.98,116.98,9.4,0
TYN,Taiyuan Wusu,Taiyuan,CN,37.75,112.63,5.4,0
SJW,Shijiazhuang Zhengding,Shijiazhuang,CN,38.28,114.70,11.0,0
WUX,Sunan Shuofang,Wuxi,CN,31.49,120.43,7.5,0
NTG,Nantong Xingdong,Nantong,CN,32.07,120.98,7.7,0
YNT,Yantai Penglai,Yantai,CN,37.66,120.98,7.1,0
SWA,Jieyang Chaoshan,Shantou,CN,23.55,116.50,5.6,0
ZHA,Zhanjiang,Zhanjiang,CN,21.21,110.36,7.0,0
DYG,Zhangjiajie Hehua,Zhangjiajie,CN,29.10,110.44,1.5,1
LJG,Lijiang Sanyi,Lijiang,CN,26.68,100.25,1.3,1
JHG,Xishuangbanna Gasa,Jinghong,CN,21.97,100.76,1.3,1
PNQ,Pune,Pune,IN,18.58,73.92,7.4,0
NAG,Nagpur Ambedkar,Nagpur,IN,21.09,79.05,2.9,0
LKO,Lucknow Chaudhary Charan,Lucknow,IN,26.76,80.89,3.7,0
PAT,Patna Jay Prakash,Patna,IN,25.59,85.09,2.5,0
VTZ,Visakhapatnam,Visakhapatnam,IN,17.72,83.22,2.4,0
CJB,Coimbatore,Coimbatore,IN,11.03,77.04,2.5,0
IXC,Chandigarh,Chandigarh,IN,30.67,76.79,1.6,0
IDR,Indore Devi Ahilyabai,Indore,IN,22.72,75.80,3.0,0
BHO,Bhopal Raja Bhoj,Bhopal,IN,23.29,77.34,2.4,0
VNS,Varanasi Lal Bahadur,Varanasi,IN,25.45,82.86,1.6,1
ATQ,Amritsar Ram Dass,Amritsar,IN,31.71,74.80,1.6,1
UDR,Udaipur Maharana Pratap,Udaipur,IN,24.62,73.90,0.9,1
IXZ,Port Blair Savarkar,Port Blair,IN,11.64,92.73,0.4,1
GAU,Guwahati Lokpriya,Guwahati,IN,26.11,91.59,1.1,0
BBI,Bhubaneswar Biju Patnaik,Bhubaneswar,IN,20.24,85.82,1.2,0
UPG,Sultan Hasanuddin,Makassar,ID,-5.06,119.55,1.7,0
BPN,Sultan Aji Muhammad,Balikpapan,ID,-1.27,116.89,1.0,0
PLM,Sultan Mahmud Badaruddin,Palembang,ID,-2.90,104.70,1.7,0
PNK,Supadio,Pontianak,ID,-0.15,109.40,1.0,0
BDO,Husein Sastranegara,Bandung,ID,-6.90,107.58,8.5,0
SRG,Achmad Yani,Semarang,ID,-6.97,110.37,2.0,0
BTH,Hang Nadim,Batam,ID,1.12,104.12,1.2,0
MDC,Sam Ratulangi,Manado,ID,1.55,124.92,0.7,1
LOP,Lombok Intl,Praya,ID,-8.76,116.28,0.9,1
DJJ,Sentani,Jayapura,ID,-2.58,140.52,0.4,0
KOE,El Tari,Kupang,ID,-10.17,123.67,0.5,0
AMQ,Pattimura,Ambon,ID,-3.71,128.09,0.4,0
CEB,Mactan-Cebu,Cebu,PH,10.31,123.98,3.0,0
DVO,Francisco Bangoy,Davao,PH,7.13,125.65,1.8,0
ILO,Iloilo,Iloilo,PH,10.83,122.49,1.0,0
CRK,Clark Intl,Angeles,PH,15.19,120.56,2.4,0
KLO,Kalibo Boracay,Kalibo,PH,11.68,122.38,0.5,1
MPH,Caticlan Boracay,Malay,PH,11.92,121.95,0.2,1
PPS,Puerto Princesa,Puerto Princesa,PH,9.74,118.76,0.3,1
TAG,Bohol-Panglao,Tagbilaran,PH,9.66,123.85,0.4,1
BCD,Bacolod-Silay,Bacolod,PH,10.78,123.01,0.8,0
CGY,Laguindingan,Cagayan de Oro,PH,8.61,124.46,0.9,0
ZAM,Zamboanga,Zamboanga,PH,6.92,122.06,1.0,0
HPH,Cat Bi,Hai Phong,VN,20.82,106.72,2.1,0
VCA,Can Tho,Can Tho,VN,10.09,105.71,1.6,0
CXR,Cam Ranh,Nha Trang,VN,11.99,109.22,0.5,1
PQC,Phu Quoc,Phu Quoc,VN,10.17,103.99,0.2,1
