verdict,tier,code,name,city,country,lat,lon,population,leisure,visitors,gateway,bestDemand,bestPartner,bestKm,nearestKm,nearest
ADD,SPARSE,JJN,Jinjiang Intl,Quanzhou,CN,24.8,118.59,8.7,0,0,0,13378,PVG,772,55,XMN
ADD,SPARSE,CZX,Benniu Intl,Changzhou,CN,31.92,119.78,5.3,0,0,0,12469,PVG,210,71,YTY
ADD,SPARSE,JIU,Lushan,Jiujiang,CN,29.48,115.8,4.6,1,0,0,11234,PVG,605,70,KHN
ADD,SPARSE,HNY,Nanyue,Hengyang,CN,26.91,112.62,6.6,0,0,0,10899,PVG,1008,154,CSX
ADD,SPARSE,AQG,Tianzhushan,Anqing,CN,30.58,117.05,4.2,0,0,0,10230,PVG,458,84,HFE
ADD,SPARSE,WHA,Wuhu Xuanzhou,Wuhu,CN,31.39,118.41,3.6,0,0,0,9892,PVG,323,58,NKG
ADD,SPARSE,KNU,Chakeri,Kanpur,IN,26.4,80.41,3.1,0,0,0,9058,DEL,405,62,LKO
ADD,SPARSE,WEH,Dashuibo,Weihai,CN,37.19,122.23,2.9,1,0,0,8735,PVG,674,121,YNT
ADD,MID,PBC,Hermanos Serdan,Puebla,MX,19.16,-98.37,3.2,0,0,0,8719,MEX,80,80,MEX
ADD,SPARSE,WUT,Wutaishan,Xinzhou,CN,38.6,112.97,2.7,1,0,0,8080,PKX,314,99,TYN
ADD,SPARSE,AOG,Tengao,Anshan,CN,41.1,122.85,3.3,0,0,0,7906,HND,1597,75,YYK
ADD,SPARSE,LUH,Sahnewal,Ludhiana,IN,30.85,75.95,1.7,0,0,0,6995,DEL,278,83,IXC
ADD,SPARSE,HSN,Putuoshan,Zhoushan,CN,29.93,122.36,1.2,1,0,0,6667,PVG,145,87,NGB
ADD,SPARSE,LNJ,Boshang,Lincang,CN,23.74,100.03,2.3,0,0,0,5234,DAC,980,142,SYM
ADD,SPARSE,ALP,Aleppo Intl,Aleppo,SY,36.18,37.22,2,0,0,0,5162,CAI,865,89,GZT
ADD,SPARSE,KMS,Kumasi,Kumasi,GH,6.71,-1.59,2.6,0,0,0,5097,LOS,542,200,ACC
ADD,SPARSE,MLG,Abdul Rachman Saleh,Malang,ID,-7.93,112.71,0.9,1,0,0,5016,CGK,697,62,SUB
ADD,MID,HTY,Hatay,Hatay,TR,36.36,36.28,1.6,0,0,0,4664,CAI,830,113,ADA
ADD,SPARSE,BNI,Benin,Benin City,NG,6.32,5.6,1.7,0,0,0,4525,LOS,254,209,PHC
ADD,SPARSE,MJM,Mbuji-Mayi,Mbuji-Mayi,CD,-6.12,23.57,2.5,0,0,0,4423,FIH,920,709,BJM
ADD,SPARSE,KJH,Huangping,Kaili,CN,26.97,107.99,1.3,0,0,0,4350,HKG,791,119,ZYI
ADD,MID,ROS,Islas Malvinas,Rosario,AR,-32.9,-60.78,1.3,0,0,0,4231,EZE,298,298,EZE
ADD,MID,TAM,Gen. Francisco J. Mina,Tampico,MX,22.29,-97.87,0.9,0,0,0,4228,MEX,341,304,QRO
ADD,MID,MAR,La Chinita Intl,Maracaibo,VE,10.56,-71.73,2.3,0,0,0,4111,BOG,704,280,SMR
ADD,SPARSE,KQH,Kishangarh,Ajmer,IN,26.59,74.81,0.6,0,0,0,4105,DEL,315,103,JAI
ADD,SPARSE,MGQ,Aden Adde Intl,Mogadishu,SO,2.01,45.3,2.6,0,0,0,3922,DXB,2800,821,MYD
ADD,SPARSE,KAD,Kaduna Intl,Kaduna,NG,10.7,7.32,1.6,0,0,0,3886,LOS,635,188,ABV
ADD,SPARSE,FBM,Lubumbashi Intl,Lubumbashi,CD,-11.59,27.53,2.6,0,0,0,3826,FIH,1553,428,LUN
ADD,SPARSE,AAP,APT Pranoto,Samarinda,ID,-0.37,117.25,0.85,0,0,0,3721,CGK,1338,108,BPN
ADD,SPARSE,JGA,Jamnagar,Jamnagar,IN,22.46,70.01,0.7,0,0,0,3623,DEL,983,81,RAJ
ADD,SPARSE,FEZ,Fes-Saiss,Fes,MA,33.93,-4.98,1.1,1,0,0,3558,LHR,1984,164,RBA
ADD,SPARSE,KGA,Kananga,Kananga,CD,-5.9,22.47,1.5,0,0,0,3549,FIH,796,796,FIH
ADD,SPARSE,CBN,Kertajati,Cirebon,ID,-6.76,108.54,0.4,0,0,0,3544,CGK,219,107,BDO
ADD,MID,VLN,Arturo Michelena,Valencia,VE,10.15,-67.93,1.8,0,0,0,3422,BOG,915,114,CCS
ADD,SPARSE,SHL,Shillong,Shillong,IN,25.7,91.98,0.5,1,0,0,3338,DAC,261,60,GAU
ADD,DENSE,AKJ,Asahikawa,Asahikawa,JP,43.67,142.45,0.33,1,0,0,3281,NRT,897,118,CTS
ADD,SPARSE,MIR,Monastir Habib Bourguiba,Monastir,TN,35.76,10.75,0.9,1,0,0,3235,LHR,1961,45,NBE
ADD,SPARSE,IXG,Belagavi,Belgaum,IN,15.86,74.62,0.6,0,0,0,3233,BOM,404,74,HBX
ADD,SPARSE,IXA,Agartala,Agartala,IN,23.89,91.24,0.5,0,0,0,3229,DAC,86,86,DAC
ADD,SPARSE,KDH,Kandahar Intl,Kandahar,AF,31.51,65.85,0.6,0,0,0,3222,DEL,1131,174,UET
