verdict,tier,code,name,city,country,lat,lon,population,leisure,visitors,gateway,bestDemand,bestPartner,bestKm,nearestKm,nearest
ADD,SPARSE,JJN,Jinjiang Intl,Quanzhou,CN,24.8,118.59,8.7,0,0,0,13378,PVG,772,55,XMN
ADD,SPARSE,CZX,Benniu Intl,Changzhou,CN,31.92,119.78,5.3,0,0,0,12469,PVG,210,71,YTY
ADD,SPARSE,JIU,Lushan,Jiujiang,CN,29.48,115.8,4.6,1,0,0,11234,PVG,605,70,KHN
ADD,SPARSE,HNY,Nanyue,Hengyang,CN,26.91,112.62,6.6,0,0,0,10899,PVG,1008,154,CSX
ADD,SPARSE,AQG,Tianzhushan,Anqing,CN,30.58,117.05,4.2,0,0,0,10230,PVG,458,84,HFE
ADD,SPARSE,WHA,Wuhu Xuanzhou,Wuhu,CN,31.39,118.41,3.6,0,0,0,9892,PVG,323,58,NKG
ADD,SPARSE,KNU,Chakeri,Kanpur,IN,26.4,80.41,3.1,0,0,0,9058,DEL,405,62,LKO
ADD,SPARSE,WEH,Dashuibo,Weihai,CN,37.19,122.23,2.9,1,0,0,8735,PVG,674,121,YNT
ADD,SPARSE,WUT,Wutaishan,Xinzhou,CN,38.6,112.97,2.7,1,0,0,8080,PKX,314,99,TYN
ADD,SPARSE,AOG,Tengao,Anshan,CN,41.1,122.85,3.3,0,0,0,7906,HND,1597,75,YYK
ADD,SPARSE,LUH,Sahnewal,Ludhiana,IN,30.85,75.95,1.7,0,0,0,6995,DEL,278,83,IXC
ADD,SPARSE,HSN,Putuoshan,Zhoushan,CN,29.93,122.36,1.2,1,0,0,6667,PVG,145,87,NGB
ADD,SPARSE,LNJ,Boshang,Lincang,CN,23.74,100.03,2.3,0,0,0,5234,DAC,980,142,SYM
ADD,SPARSE,KJH,Huangping,Kaili,CN,26.97,107.99,1.3,0,0,0,4350,HKG,791,119,ZYI
ADD,SPARSE,KQH,Kishangarh,Ajmer,IN,26.59,74.81,0.6,0,0,0,4105,DEL,315,103,JAI
ADD,SPARSE,JGA,Jamnagar,Jamnagar,IN,22.46,70.01,0.7,0,0,0,3623,DEL,983,81,RAJ
ADD,SPARSE,SHL,Shillong,Shillong,IN,25.7,91.98,0.5,1,0,0,3338,DAC,261,60,GAU
ADD,SPARSE,IXG,Belagavi,Belgaum,IN,15.86,74.62,0.6,0,0,0,3233,BOM,404,74,HBX
ADD,SPARSE,IXA,Agartala,Agartala,IN,23.89,91.24,0.5,0,0,0,3229,DAC,86,86,DAC
ADD,SPARSE,PNY,Pondicherry,Puducherry,IN,11.97,79.81,0.65,1,0,0,3077,DEL,1866,120,MAA
ADD,SPARSE,DGH,Deoghar,Deoghar,IN,24.4,86.71,0.2,1,0,0,2082,DEL,1062,182,GAY
ADD,SPARSE,AYJ,Maharishi Valmiki,Ayodhya,IN,26.72,82.15,0.06,1,0,0,1327,DEL,538,125,LKO
ADD,SPARSE,HJR,Khajuraho,Khajuraho,IN,24.81,79.92,0.05,1,0,0,1225,DEL,502,136,REW
DUPLICATE,SPARSE,LHK,Wudangshan,Shiyan,CN,32.59,110.91,3.4,1,0,0,8519,PVG,1040,0,WDS
DUPLICATE,SPARSE,GOX,Manohar Intl,North Goa,IN,15.74,73.86,0.6,1,0,0,3572,BOM,387,40,GOI
EXISTS,SPARSE,WUX,Sunan Shuofang Intl,Wuxi,CN,31.49,120.43,7.4,0,0,0,0,,0,0,WUX
EXISTS,SPARSE,YTY,Yangzhou Taizhou Intl,Yangzhou,CN,32.56,119.72,4.6,0,0,0,0,,0,0,YTY
EXISTS,SPARSE,HYN,Huangyan,Taizhou,CN,28.56,121.43,6.6,0,0,0,0,,0,0,HYN
EXISTS,SPARSE,WNZ,Longwan Intl,Wenzhou,CN,27.91,120.85,9.6,0,0,0,0,,0,0,WNZ
EXISTS,SPARSE,JUZ,Quzhou,Quzhou,CN,28.97,118.9,2.3,0,0,0,0,,0,0,JUZ
EXISTS,SPARSE,YIW,Yiwu,Yiwu,CN,29.34,120.03,1.9,0,0,0,0,,0,0,YIW
EXISTS,SPARSE,LYG,Baitabu,Lianyungang,CN,34.57,119.25,4.6,0,0,0,0,,0,0,LYG
EXISTS,SPARSE,HIA,Lianshui,Huai'an,CN,33.79,119.13,4.6,0,0,0,0,,0,0,HIA
EXISTS,SPARSE,XUZ,Guanyin Intl,Xuzhou,CN,34.06,117.56,9,0,0,0,0,,0,0,XUZ
EXISTS,SPARSE,YNZ,Nanyang Intl,Yancheng,CN,33.43,120.2,6.7,0,0,0,0,,0,0,YNZ
EXISTS,SPARSE,BFU,Bengbu,Bengbu,CN,32.85,117.32,3.3,0,0,0,0,,0,0,BFU
EXISTS,SPARSE,MXZ,Meixian,Meizhou,CN,24.35,116.13,4.3,0,0,0,0,,0,0,MXZ
EXISTS,SPARSE,WYS,Wuyishan,Wuyishan,CN,27.7,118,2.3,1,0,0,0,,0,0,WYS
EXISTS,SPARSE,LZH,Bailian,Liuzhou,CN,24.21,109.39,4.2,0,0,0,0,,0,0,LZH
EXISTS,SPARSE,BHY,Fucheng,Beihai,CN,21.54,109.29,1.9,1,0,0,0,,0,0,BHY
EXISTS,SPARSE,AEB,Youjiang,Baise,CN,23.72,106.96,3.6,0,0,0,0,,0,0,AEB
