verdict,tier,code,name,city,country,lat,lon,population,leisure,visitors,gateway,bestDemand,bestPartner,bestKm,nearestKm,nearest
ADD,DENSE,BDL,Bradley Intl,Hartford,US,41.94,-72.68,1.2,0,0,0,5316,JFK,171,128,SWF
ADD,DENSE,MCI,Kansas City Intl,Kansas City,US,39.3,-94.71,2.2,0,0,0,4578,JFK,1786,170,MHK
ADD,DENSE,PSP,Palm Springs Intl,Palm Springs,US,33.83,-116.51,0.47,1,0,0,2926,LAX,175,106,CLD
ADD,DENSE,FAY,Fayetteville Regional,Fayetteville,US,34.99,-78.88,0.4,0,0,0,2537,JFK,771,99,RDU
ADD,DENSE,STS,Charles M. Schulz Sonoma,Santa Rosa,US,38.51,-122.81,0.49,0,0,0,2388,SFO,106,102,OAK
ADD,DENSE,HYA,Cape Cod Gateway,Hyannis,US,41.67,-70.28,0.2,1,0,0,2271,JFK,315,98,BOS
ADD,DENSE,BPT,Jack Brooks Regional,Beaumont,US,29.95,-94.02,0.4,0,0,0,2149,MEX,1275,126,HOU
ADD,DENSE,MGM,Montgomery Regional,Montgomery,US,32.3,-86.39,0.4,0,0,0,2111,JFK,1457,144,BHM
ADD,DENSE,PIA,General Wayne A. Downing Peoria,Peoria,US,40.66,-89.69,0.37,0,0,0,2090,JFK,1340,91,SPI
ADD,DENSE,RFD,Chicago Rockford Intl,Rockford,US,42.2,-89.1,0.34,0,0,0,2031,JFK,1287,102,ORD
ADD,DENSE,LRD,Laredo Intl,Laredo,US,27.54,-99.46,0.26,0,0,0,1916,MEX,902,194,MFE
ADD,DENSE,CSG,Columbus Metropolitan,Columbus,US,32.52,-84.94,0.3,0,0,0,1881,JFK,1343,133,ATL
ADD,DENSE,FLO,Florence Regional,Florence,US,34.19,-79.72,0.2,0,0,0,1735,JFK,888,92,MYR
ADD,DENSE,CLL,Easterwood Field,College Station,US,30.59,-96.36,0.25,0,0,0,1701,MEX,1269,119,IAH
ADD,DENSE,BGR,Bangor Intl,Bangor,US,44.81,-68.83,0.15,0,0,0,1628,JFK,615,175,PWM
ADD,DENSE,BMI,Central Illinois Regional,Bloomington,US,40.48,-88.92,0.19,0,0,0,1522,JFK,1278,96,SPI
ADD,DENSE,LCH,Lake Charles Regional,Lake Charles,US,30.13,-93.22,0.2,0,0,0,1500,MEX,1327,119,LFT
ADD,DENSE,SGU,St George Regional,St George,US,37.04,-113.51,0.18,0,0,0,1453,LAX,561,181,LAS
ADD,DENSE,MFR,Rogue Valley Intl-Medford,Medford,US,42.37,-122.87,0.22,0,0,0,1407,LAX,1015,197,EUG
ADD,DENSE,COU,Columbia Regional,Columbia,US,38.82,-92.22,0.18,0,0,0,1372,JFK,1587,161,STL
ADD,DENSE,RDD,Redding Regional,Redding,US,40.51,-122.29,0.18,0,0,0,1350,LAX,807,210,SMF
ADD,DENSE,ABI,Abilene Regional,Abilene,US,32.41,-99.68,0.17,0,0,0,1343,MEX,1443,140,SJT
ADD,DENSE,ABY,Southwest Georgia Regional,Albany,US,31.54,-84.19,0.15,0,0,0,1319,JFK,1376,121,VLD
ADD,DENSE,DHN,Dothan Regional,Dothan,US,31.32,-85.45,0.15,0,0,0,1288,JFK,1473,125,PFN
ADD,DENSE,AEX,Alexandria Intl,Alexandria,US,31.33,-92.55,0.15,0,0,0,1252,MEX,1475,136,LFT
ADD,DENSE,ACV,California Redwood Coast,Arcata,US,40.98,-124.11,0.13,0,0,0,1113,SFO,402,332,SMF
ADD,DENSE,BZN,Bozeman Yellowstone Intl,Bozeman,US,45.78,-111.15,0.12,1,0,0,1019,LAX,1453,106,BTM
ADD,DENSE,MEI,Key Field,Meridian,US,32.33,-88.75,0.1,0,0,0,1014,JFK,1623,125,JAN
ADD,DENSE,CYS,Cheyenne Regional,Cheyenne,US,41.16,-104.81,0.1,0,0,0,850,LAX,1439,145,DEN
ADD,DENSE,BRD,Brainerd Lakes Regional,Brainerd,US,46.4,-94.13,0.06,1,0,0,836,JFK,1755,96,STC
ADD,DENSE,MVY,Martha's Vineyard,Martha's Vineyard,US,41.39,-70.61,0.02,1,0,0,727,JFK,279,114,BOS
ADD,DENSE,ACK,Nantucket Memorial,Nantucket,US,41.25,-70.06,0.02,1,0,0,717,JFK,320,147,BOS
ADD,DENSE,BJI,Bemidji Regional,Bemidji,US,47.51,-94.93,0.05,0,0,0,681,JFK,1846,157,FAR
ADD,DENSE,BET,Bethel,Bethel,US,60.78,-161.84,0.06,0,0,0,587,NRT,4875,454,OME
ADD,DENSE,EYW,Key West Intl,Key West,US,24.55,-81.76,0.03,1,0,0,568,JFK,1937,172,VRA
ADD,DENSE,SUN,Friedman Memorial,Sun Valley,US,43.5,-114.3,0.03,1,0,0,555,LAX,1121,114,TWF
ADD,DENSE,HDN,Yampa Valley,Hayden,US,40.48,-107.22,0.03,1,0,0,540,LAX,1227,97,EGE
ADD,DENSE,BFF,Western Nebraska Regional,Scottsbluff,US,41.87,-103.6,0.04,0,0,0,531,JFK,2484,241,DEN
ADD,DENSE,MMH,Mammoth Yosemite,Mammoth Lakes,US,37.62,-118.84,0.01,1,0,0,394,LAX,411,122,FAT
ADD,DENSE,ADQ,Kodiak,Kodiak,US,57.75,-152.49,0.013,0,0,0,255,NRT,5394,219,HOM
