verdict,tier,code,name,city,country,lat,lon,population,leisure,visitors,gateway,bestDemand,bestPartner,bestKm,nearestKm,nearest
ADD,US,YNG,Youngstown-Warren,Youngstown,US,41.26,-80.67,0.5,0,0,0,3001,JFK,583,75,CAK
ADD,US,LEB,Lebanon Municipal,Lebanon,US,43.63,-72.3,0.21,0,0,0,2091,JFK,354,104,MHT
ADD,US,CRW,West Virginia Intl Yeager,Charleston,US,38.37,-81.59,0.25,0,0,0,2039,JFK,716,85,HTS
ADD,US,PGV,Pitt-Greenville,Greenville,US,35.64,-77.39,0.17,0,0,0,1720,JFK,639,71,EWN
ADD,US,MCN,Middle Georgia Regional,Macon,US,32.69,-83.65,0.23,0,0,0,1688,JFK,1246,122,CSG
ADD,US,JST,John Murtha Johnstown-Cambria,Johnstown,US,40.32,-78.83,0.13,0,0,0,1606,JFK,429,49,LBE
ADD,US,IFP,Laughlin/Bullhead Intl,Bullhead City,US,35.16,-114.56,0.15,1,0,0,1544,LAX,377,115,LAS
ADD,US,BWG,Bowling Green-Warren County,Bowling Green,US,36.96,-86.42,0.18,0,0,0,1524,JFK,1168,96,BNA
ADD,US,ART,Watertown Intl,Watertown,US,43.99,-76.02,0.11,0,0,0,1484,JFK,416,53,YGK
ADD,US,OGS,Ogdensburg Intl,Ogdensburg,US,44.68,-75.47,0.11,0,0,0,1458,JFK,470,73,YOW
ADD,US,VRB,Vero Beach Regional,Vero Beach,US,27.66,-80.42,0.16,1,0,0,1428,JFK,1566,53,MLB
ADD,US,VIS,Visalia Municipal,Visalia,US,36.32,-119.39,0.14,0,0,0,1403,LAX,280,59,FAT
ADD,US,BKW,Raleigh County Memorial,Beckley,US,37.79,-81.12,0.11,0,0,0,1356,JFK,707,114,ROA
ADD,US,MSL,Northwest Alabama Regional,Muscle Shoals,US,34.74,-87.61,0.15,0,0,0,1318,JFK,1380,77,HSV
ADD,US,PIB,Hattiesburg-Laurel Regional,Hattiesburg,US,31.47,-89.34,0.17,0,0,0,1290,JFK,1727,111,MEI
