verdict,tier,code,name,city,country,lat,lon,population,leisure,visitors,gateway,bestDemand,bestPartner,bestKm,nearestKm,nearest
ADD,SPARSE,ZQZ,Ningyuan,Zhangjiakou,CN,40.74,114.93,4.4,0,0,0,9804,PKX,186,144,DAT
ADD,SPARSE,IBA,Ibadan,Ibadan,NG,7.36,3.97,3.6,0,0,0,6914,LOS,113,113,LOS
ADD,SPARSE,UCB,Jining,Ulanqab,CN,41.13,113.1,2.1,0,0,0,6444,PKX,333,112,HET
ADD,SPARSE,GYS,Panlong,Guangyuan,CN,32.39,105.7,2.3,0,0,0,5628,PVG,1527,140,MIG
ADD,SPARSE,RLK,Tianjitai,Bayannur,CN,40.93,107.74,1.7,0,0,0,5090,PKX,753,150,WUA
ADD,SPARSE,HLH,Yilelite,Ulanhot,CN,46.2,122.01,1.4,0,0,0,4801,HND,1899,110,DBC
ADD,SPARSE,TCZ,Tuofeng,Tengchong,CN,24.94,98.49,0.7,1,0,0,3311,DAC,828,60,LUM
ADD,SPARSE,BKY,Kavumu,Bukavu,CD,-2.31,28.81,1.1,0,0,0,2520,FIH,1502,86,GOM
ADD,SPARSE,YUS,Batang,Yushu,CN,32.84,97.04,0.4,1,0,0,2363,DEL,1962,255,BPX
ADD,SPARSE,XIL,Xilinhot,Xilinhot,CN,43.92,115.96,0.3,0,0,0,2331,PEK,430,304,CIF
ADD,SPARSE,BCU,Bauchi Sani Abacha,Bauchi,NG,10.48,9.74,0.5,0,0,0,2052,LOS,828,133,JOS
ADD,SPARSE,NZH,Xijiao,Manzhouli,CN,49.57,117.33,0.3,0,0,0,1999,HND,2394,186,HLD
ADD,SPARSE,NHF,Nyala,Nyala,SD,12.05,24.96,0.5,0,0,0,1896,CAI,2115,909,KRT
ADD,SPARSE,BFX,Bafoussam,Bafoussam,CM,5.54,10.35,0.4,0,0,0,1858,LOS,786,184,DLA
ADD,SPARSE,DKA,Katsina,Katsina,NG,12.93,7.65,0.4,0,0,0,1824,LOS,851,136,KAN
ADD,SPARSE,LAQ,Beida Intl,Beida,LY,32.79,21.96,0.25,0,0,0,1785,CAI,943,176,BEN
ADD,SPARSE,KTG,Rahadi Oesman,Ketapang,ID,-1.82,109.96,0.13,0,0,0,1785,CGK,603,196,PNK
ADD,SPARSE,EBD,El Obeid,El Obeid,SD,13.15,30.23,0.4,0,0,0,1782,CAI,1890,370,KRT
ADD,SPARSE,SVP,Kuito,Kuito,AO,-12.4,16.95,0.4,0,0,0,1776,FIH,906,137,NOV
ADD,SPARSE,MDI,Makurdi,Makurdi,NG,7.7,8.61,0.3,0,0,0,1702,LOS,597,179,ENU
ADD,SPARSE,KIW,Southdowns,Kitwe,ZM,-12.9,28.15,0.5,0,0,0,1625,FIH,1686,56,NLA
ADD,SPARSE,ZND,Zinder,Zinder,NE,13.78,8.98,0.3,0,0,0,1510,LOS,1012,199,KAN
ADD,SPARSE,SUP,Trunojoyo,Sumenep,ID,-7.02,113.89,0.1,0,0,0,1475,CGK,805,128,SUB
ADD,SPARSE,KND,Kindu,Kindu,CD,-2.92,25.92,0.3,0,0,0,1430,FIH,1174,380,BJM
ADD,MID,BTK,Bratsk,Bratsk,RU,56.37,101.7,0.23,0,0,0,1386,HND,3668,488,IKT
ADD,SPARSE,VHC,Saurimo,Saurimo,AO,-9.69,20.43,0.2,0,0,0,1292,FIH,806,452,MEG
ADD,MID,RCB,Richards Bay,Richards Bay,ZA,-28.74,32.09,0.2,0,0,0,1251,JNB,478,135,DUR
